"gender","age","year","eyecolor","height","miles","brothers","sisters","computertime","exercise","exercisehours","musiccds","playgames","watchtv"
"775","male",18,"first","blue",70,50,1,0,4,"No",0,5,10,5
"776","male",22,"fourth","blue",72,250,1,1,5,"No",0,20,0,15
"777","female",19,"second","green",67,170,1,0,4,"Yes",5,30,0,2
"778","male",20,"second","blue",77,75,2,0,14,"No",0,45,2,15
"779","female",20,"third","blue",68,175,1,2,7,"No",0,75,7,6
"780","female",19,"second","brown",69,130,0,2,5,"No",0,150,2,10
"781","female",20,"third","blue",68,10,2,1,5,"No",0,75,1,5
"782","male",22,"second","other",70,6000,1,2,80,"No",0,17,15,20
"783","female",20,"third","blue",71,60,0,1,2,"No",0,50,0,15
"784","female",21,"third","hazel",68,60,2,3,5,"Yes",4,50,0,5
"785","male",20,"second","blue",74,323,1,0,8,"Yes",12,75,0,8
"786","female",20,"second","hazel",64,150,0,1,30,"Yes",5,35,0,1
"787","female",19,"second","hazel",65,220,3,0,30,"Yes",5,94,0,6
"788","female",20,"second","blue",68,500,1,0,3,"No",0,40,0,5
"789","female",21,"fourth","blue",67,45,0,2,20,"No",0,40,1,4
"790","male",18,"first","blue",72,153,1,1,15,"No",0,50,30,7
"791","female",18,"first","blue",66,140,1,3,5,"Yes",2,20,10,0
"792","male",20,"second","brown",76,184,1,2,15,"Yes",4,20,5,25
"793","female",20,"third","brown",66,3000,3,0,10,"No",0,100,5,20
"794","female",23,"other","blue",67,4,0,0,24,"Yes",5,30,0,14
"795","male",25,"fourth","brown",66,10000,0,1,10,"Yes",3,20,3,10
"796","female",19,"second","hazel",66,50,3,3,4,"Yes",2,50,1,14
"797","female",21,"third","green",67,189,1,0,15,"Yes",6,35,1,10
"798","female",18,"first","blue",63,175,1,1,10,"No",0,30,0,0
"799","female",20,"second","brown",65,60,1,2,10,"No",0,20,0,14
"800","female",18,"first","hazel",64,140,2,0,14,"Yes",0.5,25,0,0.5
"801","female",19,"second","blue",67,300,1,1,15,"Yes",10,25,0,3
"802","female",22,"fourth","green",69,40,1,1,40,"No",0,175,1,5
"803","female",19,"second","blue",67,80,1,2,15,"Yes",5,25,1,15
"804","female",18,"second","blue",65,590,1,1,15,"Yes",4,60,0,3
"805","female",20,"third","brown",66,45,4,2,40,"Yes",5,10,3,8
"806","female",19,"second","green",65,211,0,4,6,"No",0,60,7,7
"807","female",19,"first","blue",68,250,2,0,12,"Yes",5,24,0,7
"808","female",19,"second","blue",68,370,0,3,25,"No",0,25,0,14
"809","female",20,"second","green",63,101,1,2,2,"Yes",0,20,0,3
"810","female",20,"second","brown",62,220,1,0,10,"No",0,10,0,3
"811","female",20,"third","hazel",62,330,0,0,8,"Yes",5,20,4,6
"812","female",21,"third","brown",61,0,0,2,2.5,"Yes",5,50,1,5
"813","female",18,"first","brown",64,5,1,0,12,"Yes",5,26,1,4
"814","female",21,"third","brown",64,31,1,0,2,"No",0,25,0,12
"815","female",39,"fourth","hazel",67,40,1,1,4,"Yes",5,30,0,10
"816","male",19,"second","hazel",75,0,1,2,10,"Yes",6,20,24,24
"817","female",19,"second","blue",68,155,1,1,3.5,"No",0,55,0.5,20
"818","female",20,"second","blue",65,40,0,1,6,"Yes",3.5,20,0,6
"819","female",24,"other","green",70,140,5,1,8,"Yes",8,45,0,8
"820","male",19,"third","hazel",69,200,1,0,1,"Yes",2,40,5,12
"821","female",20,"second","hazel",62,48,1,0,3,"Yes",2,45,2,8
"822","male",20,"second","hazel",78,120,2,0,15,"Yes",8,200,0,2
"823","female",21,"third","green",67,100,1,4,5,"Yes",4,25,0,30
"824","male",21,"second","blue",70,60,0,1,10,"No",0,30,0,5
"825","female",22,"fourth","brown",65,222,2,1,5,"Yes",3,10,0,10
"826","male",21,"third","hazel",72,200,1,1,4,"No",0,10,4,12
"827","female",21,"third","brown",62,96,0,1,1,"Yes",3,52,0,3
"828","female",20,"second","green",62,0,1,0,10,"Yes",2,25,0,5
"829","male",20,"second","blue",68,225,0,2,5,"Yes",4,15,2,12
"830","female",21,"third","green",62,126,0,0,2,"Yes",5,20,0,4
"831","male",21,"fourth","blue",71,145,0,3,2,"Yes",5,15,0,12
"832","female",22,"fourth","brown",63,0,1,0,3,"Yes",1,60,0,20
"833","male",21,"third","blue",74,200,1,0,2,"Yes",5,93,1,3
"834","male",21,"third","brown",65,200,1,1,24,"Yes",4,200,1,8
"835","female",22,"fourth","hazel",68,60,1,0,12,"Yes",3,15,1,12
"836","male",19,"first","blue",77,350,2,1,2,"Yes",8,30,1,2
"837","male",21,"third","blue",70,150,2,1,15,"No",0,120,5,3
"838","male",20,"second","hazel",70,60,0,1,5,"No",0,40,1,8
"839","male",20,"second","hazel",71,193,1,1,4,"No",0,100,8,4
"840","male",20,"second","green",76,180,0,2,6,"Yes",13,40,1,5
"841","female",20,"second","hazel",69,25,1,1,10,"Yes",6,300,0,8
"842","male",20,"third","brown",70,0,0,1,10,"No",0,25,20,4
"843","male",20,"second","hazel",72,200,2,1,17.5,"Yes",9,40,2,14
"844","female",20,"third","blue",61,35,1,0,3,"No",0,30,0,8
"845","male",19,"second","blue",71,201,0,1,20,"No",0,10,9,14
"846","female",21,"third","brown",68,20,1,0,5,"No",0,30,0,4
"847","male",21,"third","blue",73,117,1,2,10,"Yes",3,10,0,5
"848","male",24,"third","brown",74,9,1,1,4,"Yes",5,400,0,8
"849","female",26,"fourth","green",63,7,1,0,4,"No",0,250,0,1
"850","female",47,"fourth","brown",63,0,5,2,4,"Yes",2,50,0,4
"851","male",20,"second","blue",73,189,1,0,5,"Yes",6,200,0,4
"852","male",20,"second","brown",70,50,1,0,1,"No",0,25,5,10
"853","female",25,"other","brown",62,1035.6,0,2,10,"No",0,100,0,20
"854","male",21,"third","hazel",71,84,1,2,10,"Yes",5,12,4,2
"855","male",18,"first","brown",73,1528,0,1,60,"No",0,25,3,22
"856","female",20,"second","brown",63,150,2,2,10,"Yes",3,10,1,1
"857","male",21,"fourth","green",73,30,2,0,15,"No",0,70,2,12
"858","male",21,"fourth","other",73,80,2,2,10,"Yes",4,100,0,2
"859","male",20,"third","blue",70,220,1,1,3,"Yes",4,50,5,10
"860","male",20,"second","hazel",72,115,0,2,2,"Yes",30,25,0.25,0.5
"861","female",20,"third","hazel",68,33,1,4,5,"Yes",4,50,0,7
"862","male",20,"second","green",73,300,4,1,4,"Yes",9,1,2,4
"863","female",20,"second","blue",69,190,1,0,7,"Yes",3,250,2,10
"864","male",21,"fourth","blue",71,326,1,0,10,"Yes",4,60,2,15
"865","female",21,"fourth","hazel",67,30,1,1,20,"No",0,10,0,10
"866","male",28,"second","brown",67,17,1,1,2,"No",0,35,1,4
"867","male",21,"third","brown",75,90,2,0,1,"Yes",6,50,4,15
"868","female",20,"second","blue",64,220,1,0,20,"Yes",6,25,2,10
"869","male",22,"fourth","brown",72,15,2,0,10,"No",0,100,10,10
"870","female",21,"third","blue",63,120,0,0,5,"No",0,10,10,30
"871","female",20,"third","hazel",67,100,5,1,3.5,"Yes",8.5,12,0,11
"872","female",19,"second","green",67,195,1,0,6,"Yes",8,25,0,4
"873","female",22,"fourth","hazel",66,60,1,1,2,"No",0,100,0,10
"874","female",19,"second","brown",68,210,1,0,5,"Yes",10,30,1,6
"875","female",21,"fourth","green",65,185,1,2,5,"Yes",6,3,0,10
"876","male",20,"second","hazel",72,50,2,0,1,"No",0,100,6,10
"877","male",27,"fourth","brown",72,800,3,0,10,"No",0,125,5,10
"878","male",21,"fourth","blue",75,40,0,0,5,"Yes",7,18,2,15
"879","female",27,"third","hazel",67,0,2,1,2,"No",0,108,1,4
"880","female",18,"first","blue",68,250,1,0,20,"No",0,20,7,30
"881","female",20,"second","brown",61,3500,1,0,5,"No",0,250,2,2
"882","male",22,"fourth","hazel",72,158,1,0,12,"Yes",0,300,0,2
"883","female",19,"second","blue",72,150,2,0,7,"Yes",12,20,2,10
"884","female",18,"first","blue",61,25,0,2,6,"No",0,65,0,10
"885","male",20,"third","hazel",69,120,0,2,3,"No",0,50,15,15
"886","female",21,"fourth","brown",70,25,0,0,10,"Yes",10,100,0,8
"887","female",19,"second","green",66,215,0,1,10,"Yes",6,250,0,0
"888","female",20,"third","blue",61,30,1,1,10,"No",0,70,3,10
"889","male",21,"third","blue",69,185,1,0,20,"Yes",26,50,2,10
"890","male",20,"second","blue",70,100,0,2,5,"No",0,30,15,2
"891","male",19,"second","green",68,180,1,2,2,"Yes",10,50,2,5
"892","female",19,"second","green",67,280,2,0,4,"Yes",2,164,0,2
"893","female",22,"fourth","green",72,60,1,2,6,"No",0,30,0,4
"894","female",21,"third","blue",68,25,2,0,4,"Yes",3,50,2,7
"895","female",22,"third","blue",64,250,1,4,5,"Yes",0,30,0,10
"896","female",20,"third","green",70,350,0,1,15,"Yes",3,100,1,5
"897","female",21,"fourth","blue",66,110,1,0,4,"No",0,20,0,10
"898","female",20,"second","brown",62,140,1,3,5,"No",0,50,1,5
"899","female",21,"third","blue",64,80,3,0,5,"Yes",4,100,0,6
"900","female",33,"fourth","brown",60,45,1,0,12,"No",0,5,1,12
"901","male",20,"third","green",72,150,0,1,10,"Yes",10,11,3,7
"902","female",27,"other","brown",69,300,3,0,3,"Yes",1,100,0,4
"903","female",23,"fourth","brown",62,385,1,1,4,"Yes",7,85,0,6
"904","male",23,"third","brown",68,25,1,2,2,"Yes",5,100,3,5.5
"905","female",20,"third","blue",65,424,0,1,2,"No",0,40,10,25
"906","male",20,"second","blue",72,35,2,1,4,"Yes",6,150,2,4
"907","female",20,"third","brown",67,1050,2,0,20,"Yes",7,30,0,1
"908","male",20,"third","brown",72,70,1,0,21,"Yes",3,550,4,5
"909","female",18,"first","blue",68,130,0,1,5,"Yes",7,7,0,2
"910","female",23,"third","brown",60,6750,0,1,35,"No",0,3,0,0
"911","male",20,"second","green",68,125,0,0,10,"No",0,25,20,4
"912","female",22,"fourth","hazel",63,20,4,2,5,"Yes",2,75,0,10
"913","female",19,"second","hazel",67,30,1,1,30,"Yes",5,30,0,15
"914","male",23,"other","brown",75,165,1,1,8,"Yes",14,75,7.5,45
"915","male",20,"second","blue",69,136,5,0,12,"Yes",14,25,5,21
"916","male",19,"first","hazel",75,0,0,1,1,"Yes",5,100,5,5
"917","male",20,"second","brown",71,30,2,0,10,"Yes",9,200,5,5
"918","male",20,"third","blue",72,92,2,1,5,"No",0,40,5,15
"919","female",19,"second","blue",72,170,0,1,14,"No",0,25,0,2
"920","male",19,"first","brown",72,315,0,2,6,"No",0,10,5,10
"921","female",19,"first","blue",66,800,1,1,9,"Yes",14,50,0,4
"922","female",20,"third","green",63,8,0,2,15,"Yes",0,50,1,4
"923","male",20,"second","blue",73,190,1,0,7,"No",0,120,5,25
"924","male",18,"first","blue",73,78,1,0,30,"No",0,73,5,5
"925","male",18,"first","blue",75,150,0,2,3,"Yes",6,100,3,5
"926","female",20,"third","blue",66,844,0,1,7,"Yes",7,100,7,9
"927","female",19,"second","brown",67,1800,1,0,8,"Yes",9,101,0,3
"928","male",20,"second","brown",72,35,1,0,15,"No",0,115,45,35
"929","male",20,"second","hazel",75,120,2,0,12,"Yes",15,100,0,5
"930","male",50,"other","hazel",75,1800,1,2,40,"Yes",5,25,0,2
"931","male",20,"second","other",72,200,1,1,10,"No",0,32,5,5
"932","male",18,"first","brown",76,20,1,1,5,"Yes",5,250,1,10
"933","female",20,"third","blue",66,100,2,1,80,"No",0,85,3,2
"934","male",19,"second","brown",69,300,2,1,3,"Yes",2,200,10,10
"935","male",21,"third","blue",68,250,0,1,7,"Yes",7,100,14,14
"936","female",20,"second","brown",64,120,0,2,24,"Yes",4,112,2,3
"937","male",20,"third","blue",69,1275.25,2,1,8,"Yes",15,78,0.5,7
"938","female",19,"first","blue",65,770,2,1,20,"No",0,40,0,5
"939","male",21,"fourth","blue",72,120,2,0,20,"Yes",5,15,2,2
"940","female",20,"second","brown",71,70,2,0,14,"No",0,30,0,7.5
"941","male",19,"second","blue",69,200,1,0,12,"Yes",5,19,7,4
"942","male",19,"second","brown",72,320,3,1,15,"Yes",5,0,0,2
"943","male",22,"fourth","blue",69,75,1,2,3,"Yes",5,3,0,5
"944","male",20,"second","hazel",74,360,1,0,10,"Yes",5,0,2,15
"945","male",20,"second","blue",70,50,3,0,7,"Yes",7,100,1,20
"946","female",20,"third","blue",65,220,1,0,8,"Yes",5,5,0,9
"947","female",19,"first","blue",66,270,1,0,6,"No",0,100,0,0
"948","male",21,"third","blue",73,230,0,1,3,"Yes",5,200,1,8
"949","male",23,"third","blue",70,192,0,1,6,"Yes",6,275,0,5
"950","male",19,"first","blue",69,190,0,1,5,"Yes",6,50,4,3
"951","male",19,"second","green",68,45,1,1,2,"Yes",3.5,20,2,10
"952","female",18,"first","hazel",66,220,0,1,4,"No",0,50,4,15
"953","male",19,"first","green",73,30,0,1,3,"No",0,20,16,4
"954","female",20,"second","green",69,50,3,3,12,"Yes",6,25,0,8
"955","male",20,"second","blue",74,100,0,2,5,"No",0,20,0,5
"956","female",21,"fourth","brown",64,23,1,2,20,"Yes",6,40,5,5
"957","male",22,"other","brown",70,100,0,2,20,"No",0,23,1,15
"958","female",20,"second","blue",72,230,2,0,6,"No",0,90,1,1
"959","male",22,"fourth","green",72,125,3,0,20,"Yes",2,100,0.5,5
"960","female",20,"third","brown",67,150,1,0,15,"Yes",6,150,0,14
"961","female",20,"second","brown",64,250,1,0,15,"Yes",5,100,0,5
"962","female",20,"third","green",65,270,1,0,20,"Yes",7,60,0,10
"963","female",19,"second","blue",70,250,1,0,10,"Yes",5,100,0,7
"964","female",20,"third","hazel",65,200,1,0,3,"Yes",10,5,1,7
"965","female",19,"second","brown",69,20,3,0,2,"No",0,35,0,6
"966","male",20,"second","green",72,160,0,1,2,"Yes",3,50,3,10
"967","male",21,"fourth","hazel",72,1,2,0,3,"No",0,65,2,4
"968","female",20,"second","green",65,50,0,4,14,"Yes",7,40,1,3
"969","female",21,"fourth","blue",67,35,0,2,12,"Yes",6,50,0,12
"970","male",22,"fourth","blue",72,60,1,1,6,"Yes",5,12,5,15
"971","female",19,"second","blue",62,1800,6,2,8,"No",0,12,0,7
"972","female",20,"third","blue",67,20,0,1,7,"No",0,65,0,14
"973","female",19,"second","green",67,50,1,0,3,"Yes",2,100,1,3
"974","male",23,"other","hazel",70,20,2,2,8,"No",0,20,5,5
"975","female",23,"other","brown",69,30,2,1,3,"Yes",4,30,0,6
"976","female",19,"first","green",72,200,2,1,10,"Yes",7,100,0,5
"977","male",19,"second","blue",66,75,0,1,4.5,"No",0,97,1.5,2.5
"978","male",20,"second","brown",72,120,0,0,10,"Yes",7,53,10,15
"979","female",21,"third","brown",66,176,2,2,7,"Yes",3,50,2,5
"980","female",21,"second","brown",64,1000,1,2,25,"No",0,10,1,5
"981","male",20,"second","hazel",73,140,1,1,10,"No",0,50,15,30
"982","female",18,"first","green",60,20,0,3,15,"Yes",2.5,75,5,2
"983","male",20,"second","blue",74,90,2,1,10,"Yes",0,100,5,20
"984","male",18,"first","blue",67,110,1,3,2,"No",0,8,5,6
"985","female",23,"third","brown",66,215,1,0,5,"Yes",4,200,5,2
"986","female",20,"second","green",64,720,1,0,12,"Yes",2.5,124,1,20
"987","male",20,"second","brown",69,20,0,0,6,"Yes",2,100,5,6
"988","female",19,"first","brown",64,182,0,2,5,"Yes",5,20,5,10
"989","female",19,"second","brown",63,0,1,2,5,"Yes",4,50,1,12
"990","male",19,"first","brown",70,1412.47,0,2,5,"Yes",9,42,0,2
"991","male",23,"other","blue",72,90,3,1,6,"No",0,10,2,20
"992","male",20,"second","blue",70,245,0,2,9,"Yes",2,20,1,3
"993","female",19,"third","blue",64,215,0,1,5,"Yes",5,30,0,8
"994","female",20,"second","hazel",64,1400,0,1,4,"Yes",5,50,1,6
"995","female",21,"fourth","brown",63,385,0,1,6,"Yes",4,75,0,3
"996","male",25,"other","blue",72,220,0,1,15,"No",0,50,2,35
"997","male",26,"other","green",72,90,1,3,15,"Yes",5,100,2,5
"998","male",23,"fourth","hazel",70,120,0,3,10,"Yes",6,50,0,10
"999","male",21,"third","blue",72,100,2,1,25,"No",0,500,1,5
"1000","male",21,"third","hazel",72,40,0,1,6,"Yes",10,25,10,14
"1001","female",20,"second","blue",70,94,1,0,20,"Yes",2,30,5,10
"1002","male",20,"second","hazel",69,260,1,2,10,"Yes",8,75,10,20
"1003","female",20,"second","hazel",67,23,1,1,5,"Yes",5,100,1,10
"1004","male",25,"other","brown",76,99,2,1,10,"Yes",7,200,5,15
"1005","female",20,"third","brown",65,211,1,0,21,"Yes",3,200,0,15
"1006","female",19,"first","green",61,0,1,0,6,"No",0,150,1,5
"1007","male",22,"other","brown",77,200,3,0,25,"No",0,90,2,10
"1008","male",20,"second","green",72,300,1,1,15,"Yes",8,20,2,50
"1009","male",21,"third","hazel",70,196,2,0,40,"No",0,120,12,7
"1010","male",19,"first","brown",72,300,0,1,5,"No",0,70,1,3
"1011","female",18,"first","brown",68,35,0,1,5,"No",0,20,10,4
"1012","male",20,"third","blue",73,200,1,3,10,"Yes",8,75,0,14
"1013","male",20,"second","brown",73,170,1,1,6,"Yes",4,71,2,6
"1014","female",21,"third","blue",66,120,0,2,10,"No",0,50,0,4
"1015","male",20,"second","brown",78,0,1,1,2,"Yes",10,20,4,20
"1016","male",21,"fourth","blue",69,250,2,0,8,"No",0,52,12,15
"1017","male",20,"second","blue",70,100,1,1,4,"Yes",6,105,2,10
"1018","female",20,"third","green",68,150,1,0,3,"No",0,10,3,1
"1019","female",20,"first","blue",61,347.47,0,2,10,"No",0,80,5,10
"1020","female",20,"second","blue",68,90,1,1,2,"No",0,20,5,5
"1021","male",20,"third","green",77,350,1,0,2,"Yes",5,60,0,6
"1022","male",23,"second","hazel",70,60,2,1,2,"No",0,25,0,6
"1023","female",24,"other","green",65,30,0,2,18,"No",0,50,0,8
"1024","male",20,"third","blue",75,150,2,1,5,"Yes",8,30,0,2
"1025","male",19,"second","brown",66,109,2,3,10,"Yes",4,12,20,20
"1026","male",22,"fourth","blue",72,1042.92,0,2,10,"Yes",2,0,0,10
"1027","female",21,"third","brown",66,40,2,2,15,"Yes",6,25,1,10
"1028","male",23,"fourth","hazel",72,340,1,1,20,"No",0,124,2,1
"1029","female",21,"third","brown",65,60,1,0,5,"No",0,20,0,3
"1030","male",21,"third","other",72,35,0,0,10,"Yes",5,40,15,20
"1031","female",20,"third","hazel",67,35,0,1,3,"No",0,100,0,20
"1032","male",20,"first","blue",70,75,0,1,10,"Yes",5,80,5,20
"1033","female",18,"first","green",65,1700,0,0,12,"Yes",8,45,0,4
"1034","female",20,"second","brown",64,0,1,0,5,"Yes",4,50,0,10
"1035","male",21,"third","brown",75,215,2,1,12,"No",0,20,2,12
"1036","female",20,"third","green",61,75,4,2,12,"No",0,200,2,10
"1037","female",19,"second","hazel",69,240,0,2,4,"Yes",14,24,2,2
"1038","female",20,"third","green",69,20,0,1,5,"Yes",6,20,2,10
"1039","male",20,"second","blue",74,65,1,2,40,"Yes",3,20,3,2
"1040","male",20,"second","hazel",72,35,0,1,4,"Yes",7,120,12,25
"1041","male",23,"fourth","blue",69,30,1,2,14,"Yes",6,250,2,21
"1042","female",20,"third","blue",63,0,1,1,3,"Yes",3,100,0,10
"1043","female",20,"third","green",68,200,2,1,10,"Yes",6,46,1,10
"1044","female",21,"third","blue",69,232,1,0,7,"No",0,200,1,6
"1045","female",21,"third","blue",59,350,0,1,15,"Yes",5,55,0,1
"1046","female",22,"fourth","brown",74,144,1,1,3,"Yes",3,14,0,4
"1047","male",18,"first","hazel",68,180,0,0,5,"Yes",3,85,2,1
"1048","female",19,"second","brown",63,182.5,1,0,10,"Yes",0,42,6,5
"1049","male",19,"first","green",72,12,0,1,17.5,"No",0,70,2,4
"1050","female",20,"third","brown",67,160,1,0,11,"Yes",4.5,100,1,5
"1051","female",18,"first","blue",60,90,0,1,15,"Yes",6,75,0,14
"1052","male",25,"other","blue",71,68,2,1,5,"Yes",4.5,12,8,8
"1053","female",20,"third","green",62,250,1,1,4,"Yes",6,40,0,7
"1054","male",21,"third","brown",72,180,3,2,4,"No",0,100,0,10
"1055","female",20,"third","brown",68,0,1,0,6,"No",0,53,3,5
"1056","male",24,"other","brown",68,180,0,1,7,"Yes",10,200,12,8
"1057","female",21,"third","brown",67,52,1,1,15,"Yes",9,150,0,8
"1058","female",19,"second","brown",70,75,0,1,50,"No",0,30,1,4
"1059","female",20,"third","hazel",67,45,1,0,10,"Yes",10,40,0,20
"1060","female",23,"first","blue",65,46,0,2,10,"Yes",5,6,0,12
"1061","female",20,"third","green",69,35,3,2,10,"Yes",3,200,0,6
"1062","female",20,"third","hazel",67,333,1,1,12,"Yes",3,126,0,5
"1063","male",21,"third","brown",68,600,1,0,5,"Yes",0,200,5,20
"1064","female",19,"first","blue",63,500,0,0,20,"No",0,70,2,20
"1065","female",19,"second","hazel",67,25,0,1,30,"Yes",4,20,0.5,14
"1066","female",19,"first","blue",64,150,1,1,10,"Yes",4,50,5,10
"1067","male",18,"first","brown",67,0,1,0,14,"No",0,100,3,3
"1068","female",20,"third","green",65,45,1,0,40,"No",0,75,1,12
"1069","male",22,"other","hazel",72,400,0,1,4,"Yes",4,200,6,17
"1070","female",19,"second","brown",67,100,1,3,2,"Yes",3,20,0,2
"1071","female",19,"second","blue",66,15,2,2,25,"Yes",4,100,0,15
"1072","female",19,"second","brown",66,40,1,1,12,"No",0,150,3,5
"1073","female",19,"first","green",64,12,2,0,8,"Yes",3,15,0,6
"1074","male",20,"third","blue",71,119,2,0,25,"No",0,NA,6,6
"1075","male",22,"fourth","blue",71,40,0,1,10,"No",0,150,0,2
"1076","male",20,"second","hazel",70,250,2,2,3,"No",0,80,10,3
"1077","female",19,"first","green",65,75,0,3,20,"Yes",10,54,2,5
"1078","female",21,"fourth","brown",64,60,1,0,4,"Yes",0,40,0,30
"1079","male",24,"other","brown",70,150,0,1,10,"No",0,15,0,10
"1080","male",20,"second","hazel",74,90,0,1,20,"Yes",3,200,1,10
"1081","female",21,"third","green",68,120,0,1,4,"No",0,500,0,7
"1082","female",19,"second","hazel",65,150,4,4,10,"Yes",7,50,0,15
"1083","female",21,"third","blue",73,60,0,4,7.5,"Yes",5,56,0,18
"1084","male",18,"first","blue",69,180,1,1,3,"Yes",5,50,5,15
"1085","female",19,"second","blue",67,200,0,3,20,"No",0,50,1,7
"1086","female",20,"second","green",68,150,0,1,49,"No",0,25,0,2
"1087","female",20,"second","green",63,152,3,2,14,"Yes",1.5,80,0.5,7
"1088","male",21,"third","blue",74,140,0,0,8,"No",0,0,8,5
"1089","female",23,"other","blue",64,138,0,2,5,"No",0,200,0,12
"1090","female",22,"fourth","blue",62,145,1,2,15,"Yes",5.5,15,0,6
"1091","female",23,"other","brown",63,145,1,0,10,"No",0,50,5,10
"1092","female",19,"second","hazel",70,250,2,0,37.5,"Yes",7.5,75,0,17
"1093","male",21,"third","brown",78,100,0,3,15,"Yes",0,20,0,12
"1094","male",19,"second","blue",73,260,0,1,10,"Yes",2,50,0,20
"1095","female",20,"third","brown",65,166,1,1,10,"No",0,70,0.3,2
"1096","male",21,"third","blue",72,80,1,1,10,"Yes",10,200,12,6
"1097","male",20,"second","hazel",68,200,2,0,26,"Yes",16,0,0,1
"1098","female",19,"second","green",65,126,1,1,4,"No",0,80,0,2
"1099","male",19,"first","green",71,40,1,0,10,"No",0,30,10,21
"1100","female",19,"second","blue",62,120,1,0,15,"Yes",4,50,3,2
"1101","male",19,"first","brown",67,180,0,1,10,"No",0,10,1,9
"1102","female",20,"second","green",70,40,1,0,12,"Yes",3,45,4,5
"1103","male",19,"second","brown",76,34,1,0,10,"Yes",3,NA,2,6
"1104","male",22,"third","blue",68,240,0,1,3,"Yes",2,10,0,3
"1105","female",18,"first","other",68,10000,0,0,25,"No",0,50,2,1
"1106","male",31,"first","brown",69,0,2,1,5,"Yes",6,30,0,5
"1107","male",20,"second","blue",73,200,1,0,22,"Yes",3.5,5,2,10.5
"1108","female",21,"fourth","blue",67,125,1,0,20,"Yes",1,10,0,15
"1109","female",19,"third","green",66,350,0,2,20,"No",0,30,2,10
"1110","female",19,"second","hazel",62,200,3,2,30,"Yes",7,50,0,30
"1111","female",19,"second","brown",67,200,1,1,5,"Yes",1,60,0,1
"1112","female",21,"third","blue",67,0,0,1,48,"No",0,150,1,6
"1113","female",33,"other","green",64,90,2,0,10,"Yes",4,20,0,4
"1114","male",18,"first","hazel",69,15,1,0,7,"Yes",3,30,1,2
"1115","male",21,"third","blue",77,80,1,0,30,"Yes",10,50,0,4
"1116","male",21,"third","green",72,60,0,1,5,"No",0,30,10,10
"1117","female",19,"second","blue",66,65,2,1,3,"Yes",2,NA,1,8
"1118","female",19,"first","brown",69,223,3,3,20,"Yes",6,30,2,6
"1119","female",22,"fourth","brown",63,160,3,3,5,"Yes",5,30,0,12
"1120","male",22,"fourth","brown",75,375,0,1,15,"Yes",5,25,20,25
"1121","male",20,"third","brown",67,200,1,0,25,"No",0,10,1,10
"1122","female",22,"fourth","brown",61,35,0,1,20,"Yes",6,50,5,20
"1123","female",19,"second","blue",67,0,5,5,4,"No",0,0,0,3
"1124","male",23,"fourth","green",76,200,1,0,4,"No",0,NA,4,5
"1125","male",20,"second","blue",72,150,0,0,7,"No",0,380,5,8
"1126","male",20,"second","brown",71,173,2,2,4,"Yes",6,88,1,1
"1127","female",18,"first","brown",61,30,3,4,10,"No",0,30,4,4
"1128","male",22,"fourth","brown",72,160,0,2,10,"Yes",5,10,4,15
"1129","male",18,"first","green",71,70,0,1,4,"Yes",4,50,5,10
"1130","male",20,"second","brown",68,1076,1,0,7,"Yes",13,20,4,21
"1131","female",21,"fourth","brown",68,30,1,1,4,"No",0,30,0,5
"1132","male",21,"third","hazel",69,175,0,2,12,"Yes",4,150,8,6
"1133","male",21,"third","blue",79,193,0,1,10,"Yes",6,400,0,60
"1134","male",21,"third","green",74,135,2,0,1,"Yes",10,50,2,3
"1135","male",19,"first","brown",70,102.5,3,3,4,"No",0,20,7,3
"1136","female",23,"other","brown",65,183,0,3,49,"Yes",4,300,0,3
"1137","male",19,"first","brown",68,NA,1,0,10,"Yes",3,10,10,5
"1138","male",23,"other","brown",71,175,1,3,5,"Yes",10,40,4,10
"1139","female",19,"second","green",71,0,2,1,12,"No",0,100,0,5
"1140","female",19,"second","hazel",66,240,0,1,50,"No",0,47,0,1
"1141","female",23,"other","blue",64,300,0,2,20,"No",0,10,0,8
"1142","female",18,"first","brown",72,100,0,1,15,"Yes",4,100,0,20
"1143","female",20,"third","brown",66,0,2,0,2,"No",0,50,0,10
"1144","male",18,"first","blue",61,NA,2,0,6,"Yes",10,100,45,5
"1145","female",20,"second","hazel",66,179,1,0,5,"Yes",9,30,3,2
"1146","male",19,"second","brown",71,35,0,1,30,"No",0,20,18,1
"1147","female",19,"second","blue",68,30,3,0,40,"Yes",6,50,0,0
"1148","female",20,"second","blue",64,380,2,1,5,"Yes",10,2,0,5
"1149","male",18,"first","hazel",70,195,4,0,15,"Yes",7,10,4,3
"1150","male",20,"second","blue",73,5,0,4,7,"Yes",8,50,1,4
"1151","female",18,"first","blue",66,100,2,2,3,"Yes",10,50,0,6
"1152","female",25,"third","blue",71,260,1,2,15,"Yes",6,5,3,15
"1153","female",19,"first","hazel",68,0,2,0,6,"Yes",7,100,0,2
"1154","female",20,"second","brown",65,200,1,2,30,"Yes",5,120,0,10
"1155","female",19,"first","blue",66,30,2,1,5,"Yes",0,NA,1,3
"1156","female",20,"second","green",70,200,1,0,NA,"Yes",9,20,1,14
"1157","male",19,"second","blue",73,105,0,2,4,"No",0,15,3,3
"1158","female",18,"first","hazel",64,170,1,1,3,"Yes",2.5,32,4,1
